author_name,author_id,author_distinct_topics,author_keyworks_count,rank,work_id,title,distinct_topics,refs_count,is_topic_keywork,categories
B.B. Warfield,theo_0fb2dd147a7b,109,29,1,work_d62283058b24,"""The Westminster Assembly and Its Work"" (in Selected Shorter Writings)",35,35,1,bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;soteriology;theology-proper
B.B. Warfield,theo_0fb2dd147a7b,109,29,2,work_b2b4ba10407b,"Selected Shorter Writings, ed. John E. Meeter",28,28,1,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
B.B. Warfield,theo_0fb2dd147a7b,109,29,3,work_db4c1732a6ae,"""The Idea of Systematic Theology"" (in Selected Shorter Writings, Vol. 1)",27,27,1,anthropology-&-doctrine-of-creation;bibliology;covenant-theology;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;theology-proper
B.B. Warfield,theo_0fb2dd147a7b,109,29,4,work_58be505cd0f5,"""Revelation and Inspiration"" (in The Works of Benjamin B. Warfield, vol. 1)",26,26,1,bibliology;christology;covenant-theology;doctrine-of-the-trinity;eschatology;pneumatology;theology-proper
B.B. Warfield,theo_0fb2dd147a7b,109,29,5,work_89433e57c1ce,"""Calvin and Calvinism"" in The Works of Benjamin B. Warfield, Vol. 5",23,23,0,anthropology-&-doctrine-of-creation;bibliology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;theology-proper
John Murray,theo_0967b706d70a,109,14,1,work_11c15342b809,Collected Writings of John Murray,109,109,1,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
John Murray,theo_0967b706d70a,109,14,2,work_b790a2b2764e,Redemption Accomplished and Applied (1955),96,96,1,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
John Murray,theo_0967b706d70a,109,14,3,work_21635325bcf7,The Epistle to the Romans (theological excursuses),76,76,1,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
John Murray,theo_0967b706d70a,109,14,4,work_4dc72c972719,Principles of Conduct: Aspects of Biblical Ethics,60,60,1,anthropology-&-doctrine-of-creation;bibliology;christology;covenant-theology;doctrine-of-sin;doctrine-of-the-trinity;ecclesiology-&-sacraments;eschatology;pneumatology;soteriology;theology-proper
John Murray,theo_0967b706d70a,109,14,5,work_864f0e0c9441,Christian Baptism (1952),16,16,1,anthropology-&-doctrine-of-creation;bibliology;doctrine-of-the-trinity;ecclesiology-&-sacraments;pneumatology;soteriology
